"PFT","SnapYr","Forest Type","AC_10","Age Class","SumOfHa"
"MCL",2010,"Conifer Lowland",125,"121-130",418079.04
"MCL",2010,"Conifer Lowland",135,"131-140",519402.68
"MCL",2010,"Conifer Lowland",145,"141-150",587647.21
"MCL",2010,"Conifer Lowland",155,"151-160",526855.61
"MCL",2010,"Conifer Lowland",165,"161-170",205766.29
"MCL",2010,"Conifer Lowland",175,"171-180",47429.89
"MCL",2010,"Conifer Lowland",185,"181+",19774.90
"MCL",2015,"Conifer Lowland",5,"0-10",451260.56
"MCL",2015,"Conifer Lowland",15,"11-20",509222.49
"MCL",2015,"Conifer Lowland",25,"21-30",370856.82
"MCL",2015,"Conifer Lowland",35,"31-40",201484.52
"MCL",2015,"Conifer Lowland",45,"41-50",151792.02
"MCL",2015,"Conifer Lowland",55,"51-60",167478.98
"MCL",2015,"Conifer Lowland",65,"61-70",181544.12
"MCL",2015,"Conifer Lowland",75,"71-80",274553.33
"MCL",2015,"Conifer Lowland",85,"81-90",388945.64
"MCL",2015,"Conifer Lowland",95,"91-100",421014.10
"MCL",2015,"Conifer Lowland",105,"101-110",414192.58
"MCL",2015,"Conifer Lowland",115,"111-120",440267.04
"MCL",2015,"Conifer Lowland",125,"121-130",387440.99
"MCL",2015,"Conifer Lowland",135,"131-140",497135.61
"MCL",2015,"Conifer Lowland",145,"141-150",607981.68
"MCL",2015,"Conifer Lowland",155,"151-160",420499.46
"MCL",2015,"Conifer Lowland",165,"161-170",474278.07
"MCL",2015,"Conifer Lowland",175,"171-180",114061.98
"MCL",2015,"Conifer Lowland",185,"181+",31809.79
"MCL",2020,"Conifer Lowland",5,"0-10",225029.21
"MCL",2020,"Conifer Lowland",15,"11-20",224425.50
"MCL",2020,"Conifer Lowland",25,"21-30",187708.46
"MCL",2020,"Conifer Lowland",35,"31-40",177482.18
"MCL",2020,"Conifer Lowland",45,"41-50",181071.62
"MCL",2020,"Conifer Lowland",55,"51-60",179187.11
"MCL",2020,"Conifer Lowland",65,"61-70",178778.38
"MCL",2020,"Conifer Lowland",75,"71-80",256185.77
"MCL",2020,"Conifer Lowland",85,"81-90",383834.87
"MCL",2020,"Conifer Lowland",95,"91-100",565710.91
"MCL",2020,"Conifer Lowland",105,"101-110",486605.00
"MCL",2020,"Conifer Lowland",115,"111-120",533841.00
"MCL",2020,"Conifer Lowland",125,"121-130",470438.16
"MCL",2020,"Conifer Lowland",135,"131-140",687738.27
"MCL",2020,"Conifer Lowland",145,"141-150",438125.46
"MCL",2020,"Conifer Lowland",155,"151-160",482213.32
"MCL",2020,"Conifer Lowland",165,"161-170",315944.77
"MCL",2020,"Conifer Lowland",175,"171-180",82994.24
"MCL",2020,"Conifer Lowland",185,"181+",32309.65
"MCU",2000,"Conifer Upland",5,"0-10",399220.11
"MCU",2000,"Conifer Upland",15,"11-20",462789.65
"MCU",2000,"Conifer Upland",25,"21-30",210943.89
"MCU",2000,"Conifer Upland",35,"31-40",210689.23
"MCU",2000,"Conifer Upland",45,"41-50",283667.67
"MCU",2000,"Conifer Upland",55,"51-60",419845.08
"MCU",2000,"Conifer Upland",65,"61-70",645884.12
"MCU",2000,"Conifer Upland",75,"71-80",763359.63
"MCU",2000,"Conifer Upland",85,"81-90",635951.27
"MCU",2000,"Conifer Upland",95,"91-100",560679.17
"MCU",2000,"Conifer Upland",105,"101-110",405528.15
"MCU",2000,"Conifer Upland",115,"111-120",360324.39
"MCU",2000,"Conifer Upland",125,"121-130",357905.10
"MCU",2000,"Conifer Upland",135,"131-140",232299.15
"MCU",2000,"Conifer Upland",145,"141-150",223070.53
"MCU",2000,"Conifer Upland",155,"151-160",138889.29
"MCU",2000,"Conifer Upland",165,"161-170",92112.86
"MCU",2000,"Conifer Upland",175,"171-180",11063.90
"MCU",2000,"Conifer Upland",185,"181+",20490.62
"MCU",2005,"Conifer Upland",5,"0-10",758860.41
"MCU",2005,"Conifer Upland",15,"11-20",482120.31
"MCU",2005,"Conifer Upland",25,"21-30",291551.93
"MCU",2005,"Conifer Upland",35,"31-40",261071.78
"MCU",2005,"Conifer Upland",45,"41-50",300031.69
"MCU",2005,"Conifer Upland",55,"51-60",371179.38
"MCU",2005,"Conifer Upland",65,"61-70",516722.24
"MCU",2005,"Conifer Upland",75,"71-80",752868.87
"MCU",2005,"Conifer Upland",85,"81-90",708579.83
"MCU",2005,"Conifer Upland",95,"91-100",588342.19
"MCU",2005,"Conifer Upland",105,"101-110",407046.75
"MCU",2005,"Conifer Upland",115,"111-120",284372.06
"MCU",2005,"Conifer Upland",125,"121-130",232221.49
"MCU",2005,"Conifer Upland",135,"131-140",198255.35
"MCU",2005,"Conifer Upland",145,"141-150",160158.72
"MCU",2005,"Conifer Upland",155,"151-160",164517.81
"MCU",2005,"Conifer Upland",165,"161-170",107149.73
"MCU",2005,"Conifer Upland",175,"171-180",10453.98
"MCU",2005,"Conifer Upland",185,"181+",26001.32
"MCU",2010,"Conifer Upland",5,"0-10",683406.51
"MCU",2010,"Conifer Upland",15,"11-20",649625.52
"MCU",2010,"Conifer Upland",25,"21-30",426094.93
"MCU",2010,"Conifer Upland",35,"31-40",284324.33
"MCU",2010,"Conifer Upland",45,"41-50",309326.62
"MCU",2010,"Conifer Upland",55,"51-60",289961.52
"MCU",2010,"Conifer Upland",65,"61-70",428334.64
"MCU",2010,"Conifer Upland",75,"71-80",569316.13
"MCU",2010,"Conifer Upland",85,"81-90",782402.23
"MCU",2010,"Conifer Upland",95,"91-100",648343.16
"MCU",2010,"Conifer Upland",105,"101-110",519187.68
"MCU",2010,"Conifer Upland",115,"111-120",268715.87
"MCU",2010,"Conifer Upland",125,"121-130",229235.31
"MCU",2010,"Conifer Upland",135,"131-140",205621.53
"MCU",2010,"Conifer Upland",145,"141-150",169986.78
"MCU",2010,"Conifer Upland",155,"151-160",120711.63
"MCU",2010,"Conifer Upland",165,"161-170",55664.30
"MCU",2010,"Conifer Upland",175,"171-180",12942.63
"MCU",2010,"Conifer Upland",185,"181+",36477.94
"MCU",2015,"Conifer Upland",5,"0-10",505007.45
"MCU",2015,"Conifer Upland",15,"11-20",713023.23
"MCU",2015,"Conifer Upland",25,"21-30",480924.03
"MCU",2015,"Conifer Upland",35,"31-40",312275.82
"MCU",2015,"Conifer Upland",45,"41-50",272642.30
"MCU",2015,"Conifer Upland",55,"51-60",305957.62
"MCU",2015,"Conifer Upland",65,"61-70",359279.71
"MCU",2015,"Conifer Upland",75,"71-80",484785.40
"MCU",2015,"Conifer Upland",85,"81-90",667741.66
"MCU",2015,"Conifer Upland",95,"91-100",691288.41
"MCU",2015,"Conifer Upland",105,"101-110",514595.26
"MCU",2015,"Conifer Upland",115,"111-120",387673.35
"MCU",2015,"Conifer Upland",125,"121-130",217941.74
"MCU",2015,"Conifer Upland",135,"131-140",200465.40
"MCU",2015,"Conifer Upland",145,"141-150",168668.87
"MCU",2015,"Conifer Upland",155,"151-160",128419.80
"MCU",2015,"Conifer Upland",165,"161-170",87639.40
"MCU",2015,"Conifer Upland",175,"171-180",28825.61
"MCU",2015,"Conifer Upland",185,"181+",32097.38
"MCU",2020,"Conifer Upland",5,"0-10",574491.19
"MCU",2020,"Conifer Upland",15,"11-20",791964.58
"MCU",2020,"Conifer Upland",25,"21-30",671526.51
"MCU",2020,"Conifer Upland",35,"31-40",455035.35
"MCU",2020,"Conifer Upland",45,"41-50",350312.74
"MCU",2020,"Conifer Upland",55,"51-60",398062.05
"MCU",2020,"Conifer Upland",65,"61-70",365132.26
"MCU",2020,"Conifer Upland",75,"71-80",625365.82
"MCU",2020,"Conifer Upland",85,"81-90",812688.94
"MCU",2020,"Conifer Upland",95,"91-100",930619.78
"MCU",2020,"Conifer Upland",105,"101-110",616446.68
"MCU",2020,"Conifer Upland",115,"111-120",444100.40
"MCU",2020,"Conifer Upland",125,"121-130",315410.10
"MCU",2020,"Conifer Upland",135,"131-140",265934.30
"MCU",2020,"Conifer Upland",145,"141-150",138584.06
"MCU",2020,"Conifer Upland",155,"151-160",105333.05
"MCU",2020,"Conifer Upland",165,"161-170",54570.72
"MCU",2020,"Conifer Upland",175,"171-180",14676.18
"MCU",2020,"Conifer Upland",185,"181+",10421.75
"MIX",2000,"Mixedwood",5,"0-10",146707.87
"MIX",2000,"Mixedwood",15,"11-20",276002.53
